"region","system","network","isIO","instanceId","vCpu","memory","intranetGbps","intranetPPS","hourlyPrice","weeklyPrice","standard","monthlyPrice","yearlyPrice","2yearPrice","3yearPrice","4yearPrice","5yearPrice"
"cn-heyuan","windows","vpc","true","ecs.g6.large",2,8,1,30,"0.5","67.19","240.0","240.0","2448.0","4032.0","4752.0","5184.0","5472.0"
"cn-heyuan","windows","vpc","true","ecs.hfr6.large",2,16,1,30,"0.729","97.99","350.0","350.0","3570.0","5880.0","6930.0","7560.0","7980.0"
"cn-heyuan","windows","vpc","true","ecs.r6e.large",2,16,10,90,"0.729","97.99","350.0","350.0","3570.0","5880.0","6930.0","7560.0","7980.0"
"cn-heyuan","windows","vpc","true","ecs.r6.large",2,16,1,30,"0.66","89.03","318.0","318.0","3243.6","5342.4","6296.4","6868.8","7250.4"
"cn-heyuan","windows","vpc","true","ecs.s6-c1m2.xlarge",4,8,0.4,30,"0.83","67.19","240.0","240.0","2448.0","4032.0","4752.0","5184.0","5472.0"
"cn-heyuan","windows","vpc","true","ecs.hfc6.xlarge",4,8,1.5,50,"0.896","120.39","430.0","430.0","4386.0","7224.0","8514.0","9288.0","9804.0"
"cn-heyuan","windows","vpc","true","ecs.c6.xlarge",4,8,1.5,50,"0.78","104.71","374.0","374.0","3814.8","6283.2","7405.2","8078.4","8527.2"
"cn-heyuan","windows","vpc","true","ecs.c6e.xlarge",4,8,10,100,"0.821","110.31","394.0","394.0","4018.8","6619.2","7801.2","8510.4","8983.2"
"cn-heyuan","windows","vpc","true","ecs.t6-c1m4.xlarge",4,16,0.16,20,"0.944","76.15","272.0","272.0","2774.4","4569.6","5385.6","5875.2","6201.6"
"cn-heyuan","windows","vpc","true","ecs.s6-c1m4.xlarge",4,16,0.8,30,"1.25","100.79","360.0","360.0","3672.0","6048.0","7128.0","7776.0","8208.0"
"cn-heyuan","windows","vpc","true","ecs.hfg6.xlarge",4,16,1.5,50,"1.1","147.83","528.0","528.0","5385.6","8870.4","10454.4","11404.8","12038.4"
"cn-heyuan","windows","vpc","true","ecs.g6.xlarge",4,16,1.5,50,"1.0","134.39","480.0","480.0","4896.0","8064.0","9504.0","10368.0","10944.0"
"cn-heyuan","windows","vpc","true","ecs.g6e.xlarge",4,16,10,100,"1.1","147.83","528.0","528.0","5385.6","8870.4","10454.4","11404.8","12038.4"
"cn-heyuan","windows","vpc","true","ecs.hfr6.xlarge",4,32,1.5,50,"1.458","195.99","700.0","700.0","7140.0","11760.0","13860.0","15120.0","15960.0"
"cn-heyuan","windows","vpc","true","ecs.r6.xlarge",4,32,1.5,50,"1.33","178.07","636.0","636.0","6487.2","10684.8","12592.8","13737.6","14500.8"
"cn-heyuan","windows","vpc","true","ecs.r6e.xlarge",4,32,10,100,"1.458","195.99","700.0","700.0","7140.0","11760.0","13860.0","15120.0","15960.0"
"cn-heyuan","windows","vpc","true","ecs.c6.2xlarge",8,16,2.5,80,"1.56","209.43","748.0","748.0","7629.6","12566.4","14810.4","16156.8","17054.4"
"cn-heyuan","windows","vpc","true","ecs.c6e.2xlarge",8,16,10,160,"1.642","220.63","788.0","788.0","8037.6","13238.4","15602.4","17020.8","17966.4"
"cn-heyuan","windows","vpc","true","ecs.s6-c1m2.2xlarge",8,16,0.8,60,"1.67","134.39","480.0","480.0","4896.0","8064.0","9504.0","10368.0","10944.0"
"cn-heyuan","windows","vpc","true","ecs.hfc6.2xlarge",8,16,2.5,80,"1.792","240.79","860.0","860.0","8772.0","14448.0","17028.0","18576.0","19608.0"
"cn-heyuan","windows","vpc","true","ecs.t6-c1m4.2xlarge",8,32,0.32,40,"1.889","152.31","544.0","544.0","5548.8","9139.2","10771.2","11750.4","12403.2"
"cn-heyuan","windows","vpc","true","ecs.g6e.2xlarge",8,32,10,160,"2.2","295.67","1056.0","1056.0","10771.2","17740.8","20908.8","22809.6","24076.8"
"cn-heyuan","windows","vpc","true","ecs.hfg6.2xlarge",8,32,2.5,80,"2.2","295.67","1056.0","1056.0","10771.2","17740.8","20908.8","22809.6","24076.8"
"cn-heyuan","windows","vpc","true","ecs.s6-c1m4.2xlarge",8,32,1.2,60,"2.5","201.59","720.0","720.0","7344.0","12096.0","14256.0","15552.0","16416.0"
"cn-heyuan","windows","vpc","true","ecs.g6.2xlarge",8,32,2.5,80,"2.0","268.79","960.0","960.0","9792.0","16128.0","19008.0","20736.0","21888.0"
"cn-heyuan","windows","vpc","true","ecs.hfr6.2xlarge",8,64,2.5,80,"2.917","391.99","1400.0","1400.0","14280.0","23520.0","27720.0","30240.0","31920.0"
"cn-heyuan","windows","vpc","true","ecs.r6e.2xlarge",8,64,10,160,"2.917","391.99","1400.0","1400.0","14280.0","23520.0","27720.0","30240.0","31920.0"
"cn-heyuan","windows","vpc","true","ecs.r6.2xlarge",8,64,2.5,80,"2.65","356.15","1272.0","1272.0","12974.4","21369.6","25185.6","27475.2","29001.6"
"cn-heyuan","windows","vpc","true","ecs.hfc6.3xlarge",12,24,4,90,"2.688","361.19","1290.0","1290.0","13158.0","21672.0","25542.0","27864.0","29412.0"
"cn-heyuan","windows","vpc","true","ecs.c6.3xlarge",12,24,4,90,"2.34","314.15","1122.0","1122.0","11444.4","18849.6","22215.6","24235.2","25581.6"
"cn-heyuan","windows","vpc","true","ecs.hfg6.3xlarge",12,48,4,90,"3.3","443.51","1584.0","1584.0","16156.8","26611.2","31363.2","34214.4","36115.2"
"cn-heyuan","windows","vpc","true","ecs.g6.3xlarge",12,48,4,90,"3.0","403.19","1440.0","1440.0","14688.0","24192.0","28512.0","31104.0","32832.0"
"cn-heyuan","windows","vpc","true","ecs.hfr6.3xlarge",12,96,4,90,"4.375","587.99","2100.0","2100.0","21420.0","35280.0","41580.0","45360.0","47880.0"
"cn-heyuan","windows","vpc","true","ecs.r6.3xlarge",12,96,4,90,"3.98","534.23","1908.0","1908.0","19461.6","32054.4","37778.4","41212.8","43502.4"
"cn-heyuan","windows","vpc","true","ecs.c6.4xlarge",16,32,5,100,"3.12","418.87","1496.0","1496.0","15259.2","25132.8","29620.8","32313.6","34108.8"
"cn-heyuan","windows","vpc","true","ecs.hfc6.4xlarge",16,32,5,100,"3.583","481.59","1720.0","1720.0","17544.0","28896.0","34056.0","37152.0","39216.0"
"cn-heyuan","windows","vpc","true","ecs.c6e.4xlarge",16,32,10,300,"3.283","441.27","1576.0","1576.0","16075.2","26476.8","31204.8","34041.6","35932.8"
"cn-heyuan","windows","vpc","true","ecs.g6e.4xlarge",16,64,10,300,"4.4","591.35","2112.0","2112.0","21542.4","35481.6","41817.6","45619.2","48153.6"
"cn-heyuan","windows","vpc","true","ecs.hfg6.4xlarge",16,64,5,100,"4.4","591.35","2112.0","2112.0","21542.4","35481.6","41817.6","45619.2","48153.6"
"cn-heyuan","windows","vpc","true","ecs.g6.4xlarge",16,64,5,100,"4.0","537.59","1920.0","1920.0","19584.0","32256.0","38016.0","41472.0","43776.0"
"cn-heyuan","windows","vpc","true","ecs.hfr6.4xlarge",16,128,5,100,"5.833","783.99","2800.0","2800.0","28560.0","47040.0","55440.0","60480.0","63840.0"
"cn-heyuan","windows","vpc","true","ecs.r6e.4xlarge",16,128,10,300,"5.833","783.99","2800.0","2800.0","28560.0","47040.0","55440.0","60480.0","63840.0"
"cn-heyuan","windows","vpc","true","ecs.r6.4xlarge",16,128,5,100,"5.3","712.31","2544.0","2544.0","25948.8","42739.2","50371.2","54950.4","58003.2"
"cn-heyuan","windows","vpc","true","ecs.d2s.5xlarge",20,88,12,160,"13.258","1068.97","3817.8","3817.8","38941.56","64139.04","75592.44","82464.48","87045.84"
"cn-heyuan","windows","vpc","true","ecs.hfc6.6xlarge",24,48,7.5,150,"5.375","722.39","2580.0","2580.0","26316.0","43344.0","51084.0","55728.0","58824.0"
"cn-heyuan","windows","vpc","true","ecs.c6.6xlarge",24,48,7.5,150,"4.68","628.31","2244.0","2244.0","22888.8","37699.2","44431.2","48470.4","51163.2"
"cn-heyuan","windows","vpc","true","ecs.hfg6.6xlarge",24,96,7.5,150,"6.6","887.03","3168.0","3168.0","32313.6","53222.4","62726.4","68428.8","72230.4"
"cn-heyuan","windows","vpc","true","ecs.g6.6xlarge",24,96,7.5,150,"6.0","806.39","2880.0","2880.0","29376.0","48384.0","57024.0","62208.0","65664.0"
"cn-heyuan","windows","vpc","true","ecs.hfr6.6xlarge",24,192,7.5,150,"8.75","1175.99","4200.0","4200.0","42840.0","70560.0","83160.0","90720.0","95760.0"
"cn-heyuan","windows","vpc","true","ecs.r6.6xlarge",24,192,7.5,150,"7.95","1068.47","3816.0","3816.0","38923.2","64108.8","75556.8","82425.6","87004.8"
"cn-heyuan","windows","vpc","true","ecs.hfc6.8xlarge",32,64,10,200,"7.167","963.19","3440.0","3440.0","35088.0","57792.0","68112.0","74304.0","78432.0"
"cn-heyuan","windows","vpc","true","ecs.c6e.8xlarge",32,64,10,600,"6.567","882.55","3152.0","3152.0","32150.4","52953.6","62409.6","68083.2","71865.6"
"cn-heyuan","windows","vpc","true","ecs.c6.8xlarge",32,64,10,200,"6.23","837.75","2992.0","2992.0","30518.4","50265.6","59241.6","64627.2","68217.6"
"cn-heyuan","windows","vpc","true","ecs.g6e.8xlarge",32,128,10,600,"8.8","1182.71","4224.0","4224.0","43084.8","70963.2","83635.2","91238.4","96307.2"
"cn-heyuan","windows","vpc","true","ecs.hfg6.8xlarge",32,128,10,200,"8.8","1182.71","4224.0","4224.0","43084.8","70963.2","83635.2","91238.4","96307.2"
"cn-heyuan","windows","vpc","true","ecs.g6.8xlarge",32,128,10,200,"8.0","1075.19","3840.0","3840.0","39168.0","64512.0","76032.0","82944.0","87552.0"
"cn-heyuan","windows","vpc","true","ecs.r6e.8xlarge",32,256,10,600,"11.667","1567.99","5600.0","5600.0","57120.0","94080.0","110880.0","120960.0","127680.0"
"cn-heyuan","windows","vpc","true","ecs.r6.8xlarge",32,256,10,200,"10.6","1424.63","5088.0","5088.0","51897.6","85478.4","100742.4","109900.8","116006.4"
"cn-heyuan","windows","vpc","true","ecs.hfr6.8xlarge",32,256,10,200,"11.667","1567.99","5600.0","5600.0","57120.0","94080.0","110880.0","120960.0","127680.0"
"cn-heyuan","windows","vpc","true","ecs.d2s.10xlarge",40,176,20,200,"26.515","2137.96","7635.6","7635.6","77883.12","128278.08","151184.88","164928.96","174091.68"
"cn-heyuan","windows","vpc","true","ecs.hfg6.10xlarge",40,192,12.5,300,"11.0","1478.39","5280.0","5280.0","53856.0","88704.0","104544.0","114048.0","120384.0"
"cn-heyuan","windows","vpc","true","ecs.hfr6.10xlarge",40,384,12.5,300,"14.583","1959.99","7000.0","7000.0","71400.0","117600.0","138600.0","151200.0","159600.0"
"cn-heyuan","windows","vpc","true","ecs.c6e.13xlarge",52,96,16,900,"10.671","1434.15","5122.0","5122.0","52244.4","86049.6","101415.6","110635.2","116781.6"
"cn-heyuan","windows","vpc","true","ecs.c6.13xlarge",52,96,12.5,300,"10.13","1361.35","4862.0","4862.0","49592.4","81681.6","96267.6","105019.2","110853.6"
"cn-heyuan","windows","vpc","true","ecs.g6e.13xlarge",52,192,16,900,"14.3","1921.91","6864.0","6864.0","70012.8","115315.2","135907.2","148262.4","156499.2"
"cn-heyuan","windows","vpc","true","ecs.g6.13xlarge",52,192,12.5,300,"13.0","1747.19","6240.0","6240.0","63648.0","104832.0","123552.0","134784.0","142272.0"
"cn-heyuan","windows","vpc","true","ecs.r6e.13xlarge",52,384,16,900,"18.958","2547.99","9100.0","9100.0","92820.0","152880.0","180180.0","196560.0","207480.0"
"cn-heyuan","windows","vpc","true","ecs.r6.13xlarge",52,384,12.5,300,"17.23","2315.03","8268.0","8268.0","84333.6","138902.4","163706.4","178588.8","188510.4"
"cn-heyuan","windows","vpc","true","ecs.re6.13xlarge",52,768,10,180,"25.675","3450.71","12324.0","12324.0","125704.8","207043.2","244015.2","266198.4","280987.2"
"cn-heyuan","windows","vpc","true","ecs.hfc6.16xlarge",64,128,20,400,"14.333","1926.39","6880.0","6880.0","70176.0","115584.0","136224.0","148608.0","156864.0"
"cn-heyuan","windows","vpc","true","ecs.hfg6.16xlarge",64,256,20,400,"17.6","2365.43","8448.0","8448.0","86169.6","141926.4","167270.4","182476.8","192614.4"
"cn-heyuan","windows","vpc","true","ecs.hfr6.16xlarge",64,512,20,400,"23.333","3135.99","11200.0","11200.0","114240.0","188160.0","221760.0","241920.0","255360.0"
"cn-heyuan","windows","vpc","true","ecs.hfc6.20xlarge",80,192,25,600,"17.917","2407.99","8600.0","8600.0","87720.0","144480.0","170280.0","185760.0","196080.0"
"cn-heyuan","windows","vpc","true","ecs.d2s.20xlarge",80,352,35,450,"53.03","4275.93","15271.2","15271.2","155766.24","256556.16","302369.76","329857.92","348183.36"
"cn-heyuan","windows","vpc","true","ecs.hfg6.20xlarge",80,384,25,600,"22.0","2956.79","10560.0","10560.0","107712.0","177408.0","209088.0","228096.0","240768.0"
"cn-heyuan","windows","vpc","true","ecs.hfr6.20xlarge",80,768,25,600,"29.167","3919.99","14000.0","14000.0","142800.0","235200.0","277200.0","302400.0","319200.0"
"cn-heyuan","windows","vpc","true","ecs.ebmc6.26xlarge",104,192,30,600,"20.26","2722.71","9724.0","9724.0","99184.8","163363.2","192535.2","210038.4","221707.2"
"cn-heyuan","windows","vpc","true","ecs.c6e.26xlarge",104,192,32,2400,"21.342","2868.31","10244.0","10244.0","104488.8","172099.2","202831.2","221270.4","233563.2"
"cn-heyuan","windows","vpc","true","ecs.c6.26xlarge",104,192,25,600,"20.26","2722.71","9724.0","9724.0","99184.8","163363.2","192535.2","210038.4","221707.2"
"cn-heyuan","windows","vpc","true","ecs.g6.26xlarge",104,384,25,600,"26.0","3494.39","12480.0","12480.0","127296.0","209664.0","247104.0","269568.0","284544.0"
"cn-heyuan","windows","vpc","true","ecs.ebmg6.26xlarge",104,384,30,600,"26.0","3494.39","12480.0","12480.0","127296.0","209664.0","247104.0","269568.0","284544.0"
"cn-heyuan","windows","vpc","true","ecs.ebmr6.26xlarge",104,768,30,600,"34.45","4630.07","16536.0","16536.0","168667.2","277804.8","327412.8","357177.6","377020.8"
"cn-heyuan","windows","vpc","true","ecs.r6.26xlarge",104,768,25,600,"34.45","4630.07","16536.0","16536.0","168667.2","277804.8","327412.8","357177.6","377020.8"
"cn-heyuan","windows","vpc","true","ecs.re6.26xlarge",104,1536,16,300,"51.35","6901.43","24648.0","24648.0","251409.6","414086.4","488030.4","532396.8","561974.4"
"cn-heyuan","windows","vpc","true","ecs.re6.52xlarge",208,3072,32,600,"102.7","13802.87","49296.0","49296.0","502819.2","828172.8","976060.8","1064793.6","1123948.8"
"cn-heyuan","windows","vpc","true","ecs.g5ne.large",2,8,1,40,"0.649","87.28","311.75","311.75","3179.85","5237.4","6172.65","6733.8","7107.9"
"cn-heyuan","windows","vpc","true","ecs.g5ne.xlarge",4,16,2,75,"1.299","174.57","623.5","623.5","6359.7","10474.8","12345.3","13467.6","14215.8"
"cn-heyuan","windows","vpc","true","ecs.i2ne.xlarge",4,32,1.5,50,"1.978","265.77","949.2","949.2","11390.4","22780.8","34171.2","45561.6","56952.0"
"cn-heyuan","windows","vpc","true","ecs.i2.xlarge",4,32,1,50,"1.883","253.11","904.0","904.0","9220.8","15187.2","17899.2","19526.4","20611.2"
"cn-heyuan","windows","vpc","true","ecs.i2g.2xlarge",8,32,2,100,"3.073","412.99","1475.0","1475.0","15045.0","24780.0","29205.0","31860.0","33630.0"
"cn-heyuan","windows","vpc","true","ecs.g5ne.2xlarge",8,32,3.5,150,"4.33","349.15","1247.0","1247.0","12719.4","20949.6","24690.6","26935.2","28431.6"
"cn-heyuan","windows","vpc","true","ecs.i2.2xlarge",8,64,2,100,"3.767","506.23","1808.0","1808.0","18441.6","30374.4","35798.4","39052.8","41222.4"
"cn-heyuan","windows","vpc","true","ecs.i2ne.2xlarge",8,32,2.5,100,"3.957","531.54","1898.4","1898.4","22780.8","45561.6","68342.4","91123.2","113904.0"
"cn-heyuan","windows","vpc","true","ecs.g5ne.4xlarge",16,64,7,300,"8.66","698.31","2494.0","2494.0","25438.8","41899.2","49381.2","53870.4","56863.2"
"cn-heyuan","windows","vpc","true","ecs.i2g.4xlarge",16,64,3,150,"6.146","825.99","2950.0","2950.0","30090.0","49560.0","58410.0","63720.0","67260.0"
"cn-heyuan","windows","vpc","true","ecs.i2.4xlarge",16,128,3,150,"7.533","1012.47","3616.0","3616.0","36883.2","60748.8","71596.8","78105.6","82444.8"
"cn-heyuan","windows","vpc","true","ecs.i2ne.4xlarge",16,64,5,150,"7.913","1063.09","3796.8","3796.8","45561.6","91123.2","136684.8","182246.4","227808.0"
"cn-heyuan","windows","vpc","true","ecs.i2g.8xlarge",32,128,6,200,"12.292","1651.99","5900.0","5900.0","60180.0","99120.0","116820.0","127440.0","134520.0"
"cn-heyuan","windows","vpc","true","ecs.g5ne.8xlarge",32,128,15,600,"17.32","1396.63","4988.0","4988.0","50877.6","83798.4","98762.4","107740.8","113726.4"
"cn-heyuan","windows","vpc","true","ecs.i2.8xlarge",32,256,6,200,"15.067","2024.95","7232.0","7232.0","73766.4","121497.6","143193.6","156211.2","164889.6"
"cn-heyuan","windows","vpc","true","ecs.i2ne.8xlarge",32,128,10,200,"15.826","2126.2","7593.6","7593.6","91123.2","182246.4","273369.6","364492.8","455616.0"
"cn-heyuan","windows","vpc","true","ecs.g5ne.16xlarge",64,256,30,1200,"34.64","2793.27","9976.0","9976.0","101755.2","167596.8","197524.8","215481.6","227452.8"
"cn-heyuan","windows","vpc","true","ecs.i2g.16xlarge",64,256,10,400,"24.584","3303.99","11800.0","11800.0","120360.0","198240.0","233640.0","254880.0","269040.0"
"cn-heyuan","windows","vpc","true","ecs.i2.16xlarge",64,512,10,400,"30.133","4049.91","14464.0","14464.0","147532.8","242995.2","286387.2","312422.4","329779.2"
"cn-heyuan","windows","vpc","true","ecs.i2ne.16xlarge",64,256,20,400,"31.652","4252.41","15187.2","15187.2","182246.4","364492.8","546739.2","728985.6","911232.0"
"cn-heyuan","windows","vpc","true","ecs.g5ne.18xlarge",72,288,33,1350,"38.97","3142.43","11223.0","11223.0","114474.6","188546.4","222215.4","242416.8","255884.4"
"cn-heyuan","windows","vpc","true","ecs.hfc7.large",2,4,1.2,90,"0.471","63.27","226.0","226.0","2305.2","3796.8","4474.8","4881.6","5152.8"
"cn-heyuan","windows","vpc","true","ecs.hfg7.large",2,8,1.2,90,"0.579","77.83","278.0","278.0","2835.6","4670.4","5504.4","6004.8","6338.4"
"cn-heyuan","windows","vpc","true","ecs.hfr7.large",2,16,1.2,90,"0.767","103.03","368.0","368.0","3753.6","6182.4","7286.4","7948.8","8390.4"
"cn-heyuan","windows","vpc","true","ecs.hfc7.xlarge",4,8,2,100,"0.942","126.55","452.0","452.0","4610.4","7593.6","8949.6","9763.2","10305.6"
"cn-heyuan","windows","vpc","true","ecs.hfg7.xlarge",4,16,2,100,"1.158","155.67","556.0","556.0","5671.2","9340.8","11008.8","12009.6","12676.8"
"cn-heyuan","windows","vpc","true","ecs.hfr7.xlarge",4,32,2,100,"1.533","206.07","736.0","736.0","7507.2","12364.8","14572.8","15897.6","16780.8"
"cn-heyuan","windows","vpc","true","ecs.hfc7.2xlarge",8,16,3,160,"1.883","253.11","904.0","904.0","9220.8","15187.2","17899.2","19526.4","20611.2"
"cn-heyuan","windows","vpc","true","ecs.hfg7.2xlarge",8,32,3,160,"2.317","311.35","1112.0","1112.0","11342.4","18681.6","22017.6","24019.2","25353.6"
"cn-heyuan","windows","vpc","true","ecs.hfr7.2xlarge",8,64,3,160,"3.067","412.15","1472.0","1472.0","15014.4","24729.6","29145.6","31795.2","33561.6"
"cn-heyuan","windows","vpc","true","ecs.hfc7.3xlarge",12,24,4.5,200,"2.825","379.67","1356.0","1356.0","13831.2","22780.8","26848.8","29289.6","30916.8"
"cn-heyuan","windows","vpc","true","ecs.hfg7.3xlarge",12,48,4.5,200,"3.475","467.03","1668.0","1668.0","17013.6","28022.4","33026.4","36028.8","38030.4"
"cn-heyuan","windows","vpc","true","ecs.hfr7.3xlarge",12,96,4.5,200,"4.6","618.23","2208.0","2208.0","22521.6","37094.4","43718.4","47692.8","50342.4"
"cn-heyuan","windows","vpc","true","ecs.hfc7.4xlarge",16,32,6,250,"3.767","506.23","1808.0","1808.0","18441.6","30374.4","35798.4","39052.8","41222.4"
"cn-heyuan","windows","vpc","true","ecs.hfg7.4xlarge",16,64,6,250,"4.633","622.71","2224.0","2224.0","22684.8","37363.2","44035.2","48038.4","50707.2"
"cn-heyuan","windows","vpc","true","ecs.hfr7.4xlarge",16,128,6,250,"6.133","824.31","2944.0","2944.0","30028.8","49459.2","58291.2","63590.4","67123.2"
"cn-heyuan","windows","vpc","true","ecs.hfc7.6xlarge",24,48,8,300,"5.65","759.35","2712.0","2712.0","27662.4","45561.6","53697.6","58579.2","61833.6"
"cn-heyuan","windows","vpc","true","ecs.hfg7.6xlarge",24,96,8,300,"6.95","934.07","3336.0","3336.0","34027.2","56044.8","66052.8","72057.6","76060.8"
"cn-heyuan","windows","vpc","true","ecs.hfr7.6xlarge",24,192,8,300,"9.2","1236.47","4416.0","4416.0","45043.2","74188.8","87436.8","95385.6","100684.8"
"cn-heyuan","windows","vpc","true","ecs.hfc7.8xlarge",32,64,10,400,"7.533","1012.47","3616.0","3616.0","36883.2","60748.8","71596.8","78105.6","82444.8"
"cn-heyuan","windows","vpc","true","ecs.hfg7.8xlarge",32,128,10,400,"9.267","1245.43","4448.0","4448.0","45369.6","74726.4","88070.4","96076.8","101414.4"
"cn-heyuan","windows","vpc","true","ecs.hfr7.8xlarge",32,256,10,400,"12.267","1648.63","5888.0","5888.0","60057.6","98918.4","116582.4","127180.8","134246.4"
"cn-heyuan","windows","vpc","true","ecs.hfc7.12xlarge",48,96,16,600,"11.3","1518.71","5424.0","5424.0","55324.8","91123.2","107395.2","117158.4","123667.2"
"cn-heyuan","windows","vpc","true","ecs.hfg7.12xlarge",48,192,16,600,"13.9","1868.15","6672.0","6672.0","68054.4","112089.6","132105.6","144115.2","152121.6"
"cn-heyuan","windows","vpc","true","ecs.hfc7.24xlarge",96,192,32,1200,"22.6","3037.43","10848.0","10848.0","110649.6","182246.4","214790.4","234316.8","247334.4"
"cn-heyuan","windows","vpc","true","ecs.hfg7.24xlarge",96,384,32,1200,"27.8","3736.31","13344.0","13344.0","136108.8","224179.2","264211.2","288230.4","304243.2"
"me-east-1","windows","vpc","true","ecs.hfc5.large",2,4,1,30,"1.54","255.91","913.99","913.99","9322.7","18645.4","27968.09","37290.79","46613.49"
"me-east-1","windows","vpc","true","ecs.hfg5.large",2,8,1,30,"1.75","296.45","1058.8","1058.8","10799.76","21599.52","32399.28","43199.04","53998.8"
"me-east-1","windows","vpc","true","ecs.hfc5.xlarge",4,8,1.5,50,"3.07","512.11","1828.99","1828.99","18655.7","37311.4","55967.09","74622.79","93278.49"
"me-east-1","windows","vpc","true","ecs.hfg5.xlarge",4,16,1.5,50,"3.5","592.92","2117.61","2117.61","21599.62","43199.24","64798.87","86398.49","107998.11"
"me-east-1","windows","vpc","true","ecs.i2.xlarge",4,32,1,50,"3.83","611.79","2184.99","2184.99","22286.9","44573.8","66860.69","89147.59","111434.49"
"me-east-1","windows","vpc","true","ecs.hfc5.2xlarge",8,16,2,100,"6.14","1024.23","3657.99","3657.99","37311.5","74623.0","111934.49","149245.99","186557.49"
"me-east-1","windows","vpc","true","ecs.hfg5.2xlarge",8,32,2,100,"6.981","1184.1","4228.99","4228.99","43135.7","86271.4","129407.09","172542.79","215678.49"
"me-east-1","windows","vpc","true","ecs.i2.2xlarge",8,64,2,100,"7.66","1223.31","4368.99","4368.99","44563.7","89127.4","133691.09","178254.79","222818.49"
"me-east-1","windows","vpc","true","ecs.hfc5.3xlarge",12,24,2.5,130,"9.21","1536.07","5485.99","5485.99","55957.1","111914.2","167871.29","223828.39","279785.49"
"me-east-1","windows","vpc","true","ecs.hfg5.3xlarge",12,48,2.5,130,"10.471","1776.22","6343.7","6343.7","64705.74","129411.48","194117.22","258822.96","323528.7"
"me-east-1","windows","vpc","true","ecs.hfc5.4xlarge",16,32,3,160,"12.28","2048.19","7314.99","7314.99","74612.9","149225.8","223838.69","298451.59","373064.49"
"me-east-1","windows","vpc","true","ecs.hfg5.4xlarge",16,64,3,160,"13.961","2368.23","8457.99","8457.99","86271.5","172543.0","258814.49","345085.99","431357.49"
"me-east-1","windows","vpc","true","ecs.i2.4xlarge",16,128,3,150,"15.32","2446.63","8737.99","8737.99","89127.5","178255.0","267382.49","356509.99","445637.49"
"me-east-1","windows","vpc","true","ecs.hfc5.6xlarge",24,48,4.5,200,"18.42","3072.43","10972.99","10972.99","111924.5","223849.0","335773.49","447697.99","559622.49"
"me-east-1","windows","vpc","true","ecs.hfg5.6xlarge",24,96,4.5,200,"20.941","3552.35","12686.99","12686.99","129407.3","258814.6","388221.89","517629.19","647036.49"
"me-east-1","windows","vpc","true","ecs.hfc5.8xlarge",32,64,6,250,"24.57","4096.39","14629.99","14629.99","149225.9","298451.8","447677.69","596903.59","746129.49"
"me-east-1","windows","vpc","true","ecs.hfg5.8xlarge",32,128,6,250,"27.915","4736.47","16915.99","16915.99","172543.1","345086.2","517629.29","690172.39","862715.49"
